party,,,,D,R,R,D,D,D,R,D,D,R,D,D,R,R,R,D,D,D,D,D,R,D,R,R,R,D,R,R,R,R,D,D,D,R,R,D,D,R,R,R,D,D,R,R,R,D,R,R,D,D,D,D,D,R,D,D,D,D,ID,D,R,R,R,D,R,D,D,D,R,D,D,D,D,D,D,R,R,D,D,I,D,R,D,R,R,R,D,D,R,D,D,R,R,D,D,D,R,D,D,D,D,D,D,D,R,D
111,Senate,1,78,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,79,No,No,Yes,No,Yes,No,No,,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,No,No,Not Voting,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,,,,
111,Senate,1,80,No,Yes,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,,,,
111,Senate,1,81,No,Yes,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,Not Voting,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,82,No,Yes,Yes,No,No,Yes,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,Not Voting,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,83,No,Yes,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,Not Voting,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,84,No,No,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,,Yes,No,No,Not Voting,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Not Voting,Yes,Not Voting,No,No,No,Yes,Not Voting,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,85,No,Yes,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,Not Voting,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,No,No,Not Voting,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,86,No,No,Yes,No,Yes,No,Not Voting,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Not Voting,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,
111,Senate,1,87,No,Yes,Yes,No,Yes,No,Not Voting,,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Not Voting,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,
111,Senate,1,88,No,Yes,Yes,No,No,No,Not Voting,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Not Voting,Yes,No,Yes,Not Voting,No,Not Voting,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,89,No,Yes,Yes,No,No,No,Not Voting,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Not Voting,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,90,No,Yes,Yes,No,No,No,No,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Not Voting,,,,
111,Senate,1,91,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,92,No,Yes,Yes,No,Yes,Yes,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,,
111,Senate,1,93,Yes,No,No,No,No,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Not Voting,Yes,Not Voting,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,94,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,95,Yes,No,No,Yes,No,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Not Voting,Yes,Not Voting,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,
111,Senate,1,96,Yes,Yes,No,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Not Voting,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,97,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,No,No,,No,No,Yes,Yes,No,Not Voting,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,Yes,No,No,No,Yes,Not Voting,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,98,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,Yes,Not Voting,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,Yes,Yes,No,No,Yes,Not Voting,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,99,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Not Voting,,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,102,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,103,Yes,Yes,No,Yes,Yes,No,No,,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,104,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Not Voting,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,105,Yes,Yes,No,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Voting,Yes,Not Voting,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,106,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Voting,Yes,Not Voting,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,107,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Not Voting,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,Yes,Not Voting,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,108,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,,Yes,Yes,Not Voting,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Not Voting,No,No,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,109,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,110,No,Yes,Yes,Yes,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Voting,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,111,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Not Voting,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,112,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Not Voting,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,113,No,Yes,Yes,No,Yes,No,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not Voting,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,,
111,Senate,1,114,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Not Voting,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Yes,,,,
111,Senate,1,115,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,No,No,No,No,Yes,Not Voting,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,116,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Voting,,,,
111,Senate,1,117,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Voting,,,,
